Name,Company,Industry,Region,Company Size,Traffic Source,Site Visits,Session Duration,Emails Opened,Demo Requested,Days Since First Interaction,Converted
Madison Mclean,Mullen and Sons,Retail,South,Medium,Email,48,26.54,8,0,86,1
John Horton,"Landry, White and Chapman",Finance,West,Small,Webinar,7,21.2,4,0,127,0
Ryan Doyle,Rivera-Collins,Retail,East,Medium,Organic,5,20.49,13,0,246,1
Cheryl Brown,Cook Ltd,Finance,West,Large,Webinar,34,29.19,2,0,356,1
Matthew Ingram,Day-Castillo,Education,North,Small,Webinar,27,29.2,5,0,71,0
Richard Love,Weiss LLC,Education,South,Large,Email,26,23.4,20,1,135,1
Melissa Cowan,Nelson-Andersen,Finance,West,Small,Email,10,20.53,3,1,237,1
Sydney Jones,Sanchez and Sons,Retail,West,Medium,Webinar,21,14.96,18,1,186,1
William Stewart,Molina-Wolf,Education,North,Medium,Webinar,18,21.59,1,1,215,1
Mandy Duncan,Thomas-Robertson,IT,East,Large,Email,47,20.67,16,1,43,1
Tonya Roberts,"Hernandez, Henderson and Rodriguez",Education,North,Large,Ads,35,6.48,19,0,170,0
Ms. Rebecca Huang,Jones-Santos,Finance,East,Medium,Webinar,14,14.54,19,0,355,0
Michelle Estrada,"Barrett, Pena and Cruz",Healthcare,North,Medium,Ads,22,11.81,9,0,183,1
Jamie Carroll,"Russell, Morris and Lee",Finance,South,Medium,Ads,29,16.45,10,0,214,1
William Clark,Kent and Sons,Education,South,Medium,Webinar,36,8.16,10,1,283,1
Mr. Timothy Estrada,"Brown, Peck and Smith",Education,South,Medium,Ads,35,27.9,19,0,191,1
James Moore,Rivera-Hall,IT,North,Small,Webinar,38,7.32,8,1,90,1
Christopher Nguyen,Church Group,Retail,West,Large,Organic,1,29.5,16,0,294,0
James Morgan,Cox-Armstrong,Healthcare,North,Large,Organic,24,1.23,5,1,332,1
Jacqueline Fields,White and Sons,Finance,East,Medium,Organic,37,23.82,14,0,104,1
Heather Zimmerman,Burgess-Clements,Finance,West,Small,Organic,46,8.39,7,1,272,1
Rebecca Miller,Lawrence Inc,Education,South,Small,Webinar,49,8.43,17,1,46,1
Krystal Carter,"Morris, Parrish and Hensley",IT,East,Medium,Webinar,46,21.95,18,1,13,1
Kenneth Park,Reynolds-Morris,Finance,West,Medium,Ads,22,25.92,7,1,242,1
Kimberly Henderson,"Rivera, Ramirez and Fletcher",Healthcare,West,Small,Organic,43,24.65,2,0,18,0
Stephen Sanders,Hernandez-Anderson,Education,West,Large,Ads,50,18.87,20,1,140,1
Jeremiah Gordon,Nixon Group,Finance,West,Small,Email,25,7.27,11,0,15,0
Anthony Moore,Ingram Group,Healthcare,West,Small,Email,33,3.5,4,0,172,1
Dennis Alvarez,Contreras and Sons,IT,South,Small,Ads,48,15.23,3,0,254,0
Debbie Mays,Alvarez Ltd,Retail,South,Medium,Organic,7,24.47,18,1,128,0
Patricia Holmes,"Villarreal, Williams and Mora",Finance,North,Large,Organic,40,29.4,20,1,48,1
David Price,Lambert-Moore,Education,South,Medium,Ads,44,23.27,8,1,163,1
Jack Dalton,Foster LLC,Healthcare,East,Small,Ads,37,28.92,13,0,326,0
Brian Gomez,Patel-Moss,Retail,North,Medium,Email,28,28.17,11,1,131,1
Christopher Lewis,"Patel, Price and Thomas",Retail,West,Large,Webinar,28,6.85,0,1,365,0
Carl Marshall,"Warner, Fleming and Bullock",Retail,East,Medium,Organic,46,3.92,1,0,221,1
Diana Thompson,"Turner, Davis and Wilson",Retail,North,Small,Ads,49,23.05,16,1,159,1
Dr. Tammy Smith,Luna-Bowers,IT,North,Medium,Webinar,48,11.97,2,0,274,1
Joan Brown,"Humphrey, Davis and Payne",Education,South,Small,Ads,21,29.25,0,0,20,0
Carolyn Jones,"Garcia, Johnson and Anderson",Healthcare,West,Medium,Webinar,38,16.64,10,1,208,1
Sheila Ward,Garcia-King,Finance,North,Medium,Organic,40,5.57,2,0,239,0
Linda Lopez,Gross Inc,Healthcare,North,Medium,Email,13,11.29,19,1,327,1
Melanie Smith,Kent LLC,Retail,North,Large,Ads,25,15.84,2,1,70,0
Peter Rogers,"Rodgers, Blake and Kaufman",Healthcare,North,Small,Webinar,20,23.77,0,0,181,0
Patricia Marquez,"Barnes, Buckley and Little",IT,North,Large,Email,20,3.9,4,0,7,0
David Hamilton,"White, Lopez and Davis",Finance,West,Small,Ads,29,1.62,0,0,104,1
Sydney Obrien,"Zimmerman, Cruz and Williams",Retail,North,Small,Webinar,3,14.64,1,1,342,0
Jeffrey Campos,Williams-Salazar,Retail,East,Medium,Webinar,26,18.38,7,1,265,1
Heather King,"Benson, Baker and Holloway",Healthcare,South,Medium,Email,3,28.13,6,1,21,1
Denise Hill,"Dean, Palmer and Cantu",Retail,West,Medium,Ads,35,17.04,5,1,128,1
Dr. Lydia Riley,Nelson and Sons,IT,North,Large,Email,24,2.38,20,1,2,1
Vincent Moody,"Smith, Haney and Kelley",IT,West,Medium,Ads,10,2.67,9,0,235,0
Douglas Mcdonald,Holmes PLC,Retail,West,Small,Ads,41,8.58,20,1,308,1
Lisa Murray,Clay-Jacobs,IT,West,Medium,Email,45,28.78,2,1,297,1
Kayla Ali,Richard-Cooper,Finance,East,Small,Email,6,6.94,15,0,346,1
Kathleen Goodman,"Donaldson, Huber and Haas",Retail,North,Small,Ads,49,14.43,2,1,260,0
Tracey Taylor,"Hawkins, Olson and Harvey",Retail,North,Small,Ads,28,18.86,2,1,181,0
Teresa Valdez,Smith Group,Healthcare,East,Small,Email,47,20.3,13,0,269,1
Susan Perez,Martin PLC,Healthcare,North,Small,Webinar,42,27.09,16,0,253,0
Kimberly Galvan,"Williams, Anderson and Cruz",Finance,North,Medium,Email,38,15.54,20,0,288,0
Matthew Fleming,Noble-Ortega,IT,West,Large,Webinar,41,8.37,14,0,271,0
David Ward,Banks-Fisher,IT,West,Medium,Ads,15,25.16,3,0,346,1
Mark Jackson,Stanley-Nelson,Healthcare,North,Large,Ads,3,21.84,15,0,257,1
Angela Barnes,Hunter Ltd,IT,West,Medium,Webinar,43,4.21,8,0,216,0
Brenda Burke,Mason Ltd,Retail,West,Large,Webinar,19,15.39,4,1,298,0
Sean Deleon,Carter and Sons,Finance,West,Small,Webinar,33,2.87,10,0,222,0
Anthony Jenkins,Johnson-Brooks,IT,North,Medium,Webinar,26,21.81,13,1,126,1
Kathleen Johnson,Lopez-Ray,Retail,South,Large,Organic,35,2.96,3,0,96,0
Charles Cameron,Miller Ltd,Finance,East,Small,Ads,28,8.74,11,0,216,0
Mark Hammond,Smith Ltd,Healthcare,West,Small,Webinar,11,24.89,3,1,355,0
Stacie Warner,"Mcconnell, Patterson and Jackson",IT,South,Small,Webinar,10,26.28,19,0,77,0
Cassandra Ruiz,"Charles, Pitts and Adams",Education,East,Small,Organic,4,11.75,11,0,115,1
Mr. Raymond Myers DDS,Turner-Hernandez,Retail,West,Medium,Organic,13,11.23,7,1,232,1
Michael Gomez,Solis-Anderson,Education,North,Small,Webinar,3,20.71,19,0,348,0
Danielle Brown,Howard-Myers,Finance,South,Large,Organic,48,2.67,16,0,168,0
Melissa Mendez,Hughes-Hanson,IT,East,Medium,Organic,48,14.4,6,1,141,1
Christian Jones,Boyd-Taylor,Finance,East,Large,Email,27,7.99,5,1,7,1
Jeffrey Bell,Cox LLC,IT,South,Large,Ads,24,7.03,11,1,144,1
Megan Guerrero,"Johnson, Johnson and Kemp",Education,South,Medium,Organic,22,22.77,1,1,211,1
Mike Owens,"Mcbride, Knox and Cowan",Retail,East,Small,Organic,40,10.95,19,1,155,1
Tonya Tran,Jones-Martin,IT,South,Small,Email,1,29.98,7,1,108,1
Heidi Hale,"Gibbs, Walker and Owen",Healthcare,South,Small,Email,45,28.52,2,1,343,0
Melissa Snyder,Riggs and Sons,Finance,North,Small,Ads,37,24.64,2,1,189,1
Thomas Hale,Schultz and Sons,Retail,North,Large,Webinar,27,4.19,0,0,141,0
Joel Thomas,Johnson LLC,Retail,East,Small,Email,37,12.24,6,0,18,1
Brenda Kaiser,"Hendricks, Chen and Stevens",Education,East,Small,Webinar,49,3.6,0,0,354,1
Randy Brooks,"Williams, Thompson and Ochoa",Retail,South,Small,Organic,14,1.99,7,1,132,1
Zachary Salas,Johnston PLC,Healthcare,West,Large,Organic,22,18.34,18,0,240,0
Peter Sanchez,"Stevens, Madden and Ramos",Retail,East,Medium,Organic,11,20.76,1,1,209,0
John Lee,"Parsons, Williams and Blackwell",Education,West,Small,Webinar,40,4.81,9,0,119,1
Michael Page,Holt PLC,Education,West,Small,Ads,17,1.44,6,0,92,0
William Williams,Mann LLC,Education,South,Small,Email,40,21.6,19,0,232,1
Sheri Matthews,Jenkins Inc,Healthcare,North,Medium,Ads,17,26.48,2,1,112,1
Leroy Jackson,Mendoza-Thomas,Retail,North,Medium,Organic,2,27.47,1,0,77,1
Greg Wells,Williams LLC,Finance,South,Medium,Email,24,10.07,7,1,280,1
Jeffery Sanders,Anderson Group,Education,North,Small,Webinar,32,19.96,2,1,135,0
Susan Villanueva,Christian-Hendricks,Finance,West,Medium,Webinar,45,1.23,20,0,194,1
Zachary Sullivan,Price-Kidd,Retail,East,Medium,Email,32,24.5,19,0,237,1
Makayla Guerrero,Sellers and Sons,Education,West,Medium,Organic,24,7.19,14,0,62,1
Chelsea Morse,Kennedy Inc,IT,West,Medium,Webinar,37,9.38,19,1,49,1
Maria Guerra,Russo Inc,Education,East,Small,Webinar,23,4.52,3,0,363,0
Luis Patel,Hopkins Inc,Retail,South,Medium,Email,27,26.91,0,1,334,0
Eduardo Rowland,Yang Ltd,IT,North,Medium,Organic,6,18.41,0,1,363,1
James Tran Jr.,Smith Ltd,Education,East,Large,Webinar,48,27.3,10,1,83,1
Nicholas Johnson,Newman-Pierce,IT,East,Small,Ads,20,13.3,17,1,139,1
Nicole Wells,"Lucas, Hunt and Turner",Finance,North,Small,Ads,12,5.62,8,0,138,0
Sally Fields,Stevenson-Taylor,Finance,South,Large,Email,16,12.18,10,0,202,0
Terry Barnett,"Jenkins, Brown and Meadows",Healthcare,South,Large,Organic,11,9.46,10,0,343,0
Brad Wilson,"Ruiz, Jackson and Johnston",IT,South,Medium,Ads,23,29.07,3,0,303,0
Robert Flores,"Larson, Reid and Howell",Finance,West,Large,Ads,44,6.29,10,1,347,1
Kenneth Schaefer,Potter-Anderson,Retail,South,Large,Ads,7,4.06,16,0,131,1
Laurie Sharp,Oliver Ltd,Healthcare,West,Small,Email,26,1.66,20,1,264,1
Pamela Taylor,"Moore, Stevens and Palmer",Retail,South,Large,Webinar,49,9.22,10,1,286,1
Susan Sanders,"Moore, Rose and Rogers",Education,West,Medium,Email,20,29.02,17,0,360,1
Melanie Gomez,"Mcclain, Kim and Love",Retail,West,Large,Webinar,21,2.58,10,0,134,1
Amy Pitts,"Martin, Johnson and Walsh",Healthcare,West,Large,Ads,40,23.72,15,0,211,0
Thomas Vazquez,Hartman and Sons,Retail,South,Small,Ads,9,25.61,20,1,32,0
James Warner,Wade and Sons,Education,West,Small,Webinar,37,7.07,19,1,157,1
Amy Jones,Mclaughlin and Sons,Education,North,Medium,Webinar,25,28.94,9,1,148,1
Jeffrey Smith,Logan LLC,IT,East,Medium,Email,39,18.07,6,1,112,1
Robin Wright,"Wilson, King and Boyd",IT,North,Small,Ads,17,2.69,4,0,239,0
Nicole Rojas,Hayes-Guerrero,IT,East,Large,Webinar,25,3.43,8,0,213,1
Rebecca Jones,Alvarado-Martinez,Retail,West,Medium,Email,17,22.73,10,1,66,1
Bobby Parsons,"Golden, Bell and Allen",IT,East,Large,Webinar,36,7.27,20,0,38,1
Andrew Powers,Greene-Miller,Finance,East,Large,Webinar,38,24.22,17,1,239,1
Dawn Sharp,Smith-Simmons,Finance,East,Small,Organic,16,24.46,1,1,155,0
Stephanie Taylor,Nash-Pope,Finance,West,Large,Ads,42,4.74,12,1,145,1
Christine Ramsey,Summers Inc,Education,West,Large,Organic,3,6.53,3,0,70,1
Shelby Fisher,Richard-Ponce,Healthcare,West,Large,Email,36,23.79,7,1,53,1
Catherine Gray,Douglas Ltd,Retail,North,Small,Ads,47,7.12,9,1,177,1
Misty Willis,Williams-Williams,Healthcare,West,Large,Email,50,10.2,7,0,307,1
Daniel Cook,Downs-Johnson,Finance,South,Small,Webinar,24,2.12,9,0,322,1
Elizabeth Gross DVM,Barnes Ltd,Education,West,Large,Email,32,20.58,14,1,321,1
Bridget Spears,Tate-Stephens,Education,North,Small,Ads,39,7.19,17,0,215,1
Andrew Thompson,Williams-Goodwin,Healthcare,West,Medium,Email,7,1.75,8,1,50,1
Andrea Harris,Craig-Cervantes,Education,North,Small,Webinar,49,6.99,15,1,147,1
Teresa Hudson,"Lawson, Robbins and Wallace",Retail,East,Large,Ads,48,23.31,20,1,248,1
Joseph Lopez,Williams-Lewis,Education,South,Small,Email,39,13.57,10,0,300,0
Nicole Hunter,Gates-Gardner,Finance,West,Medium,Ads,37,2.81,13,0,72,0
Stephanie Mcdonald,"Hall, Bailey and Morris",Healthcare,North,Small,Ads,40,28.27,13,1,104,1
Steven Richardson,Larson PLC,Retail,North,Medium,Organic,5,27.12,1,1,340,1
David Carlson,Adams-Maxwell,Finance,East,Small,Ads,12,3.7,2,0,90,0
Kathleen Carroll,"Dunn, Reynolds and Day",IT,West,Medium,Webinar,40,26.17,6,1,25,1
Nicholas Moore,Chase Group,Education,South,Small,Email,39,6.03,1,0,279,1
Lindsey Williams,"Ramos, Jones and Brown",Retail,South,Small,Email,35,7.11,13,0,339,1
Jasmine Gibson,Marshall-Campbell,Retail,North,Large,Organic,30,8.34,10,0,322,1
Jennifer Sexton,Perez LLC,IT,East,Small,Webinar,8,4.46,10,1,3,0
Richard Yates,Bernard Ltd,Retail,South,Medium,Organic,30,1.02,5,1,177,0
Danielle Jacobs,Wilson Group,Education,North,Medium,Ads,22,20.42,1,0,280,1
Nancy Adams,Peterson-Bryant,Healthcare,North,Medium,Webinar,23,1.02,18,0,22,1
Paula Barr,Curtis-Aguirre,IT,East,Medium,Ads,10,24.49,17,1,284,0
Christopher Ortiz,Walton-Ward,Finance,East,Small,Organic,29,6.49,16,1,288,1
Pamela Lin,"Martinez, Preston and Martin",Finance,North,Medium,Organic,36,29.19,15,1,49,1
Michael Green,"Gomez, Lowe and Garcia",Finance,North,Large,Webinar,21,6.51,15,0,307,0
James Edwards,Gutierrez-Charles,Retail,West,Small,Email,18,8.61,19,1,263,1
Jessica Robinson,Wood-Vasquez,Retail,South,Large,Email,34,13.99,3,0,166,1
Theresa Alexander,"Martinez, Sloan and Sexton",Finance,East,Large,Ads,46,1.77,1,1,87,1
Amber Gonzalez,"Johnson, Jensen and Reed",Healthcare,West,Large,Webinar,28,3.2,12,0,114,1
Christopher Brown,Fitzgerald-Noble,Healthcare,North,Large,Email,23,25.52,13,1,335,1
Erik Romero,Watson Ltd,Retail,North,Medium,Email,22,5.29,12,1,347,1
Alison Bailey,"Harris, Blanchard and Miller",Finance,South,Medium,Organic,44,3.35,6,0,27,1
Jorge Burgess,Joseph LLC,Retail,South,Small,Ads,6,3.14,1,1,94,1
Karen Collier,Jenkins-Cook,Retail,West,Medium,Ads,23,28.54,19,1,256,1
Stacy Hall,Cummings Inc,Retail,North,Large,Organic,38,6.74,15,1,322,1
Elizabeth Harmon,Larsen-Parker,Education,East,Medium,Organic,31,14.15,7,1,126,1
Jeffrey Fernandez,Guzman LLC,Education,North,Large,Email,49,19.75,13,0,314,1
Carlos Hendricks,Cooper-Clark,Healthcare,East,Large,Ads,21,18.25,8,0,67,1
Christina Macdonald,Graves PLC,IT,East,Small,Ads,4,16.68,7,0,319,1
Thomas Wright,Johnson Ltd,Retail,West,Small,Organic,3,3.81,2,1,236,0
Kimberly Sanchez,"Graham, Cisneros and Bray",Healthcare,East,Large,Email,28,22.58,18,0,146,1
Michael Walker,Logan PLC,Healthcare,South,Medium,Email,14,1.76,20,1,317,1
Marilyn Davis,Alexander and Sons,IT,West,Large,Ads,23,10.85,16,1,48,1
Betty Smith,Bell-Brown,Healthcare,South,Medium,Webinar,5,1.02,11,1,347,0
Scott Franklin,"Liu, Anderson and Robinson",Retail,North,Small,Organic,8,8.61,6,0,274,0
Lori Moss,Perkins Inc,IT,North,Small,Ads,41,24.17,6,1,213,1
Erin Hamilton,Cook-Taylor,Education,West,Medium,Webinar,34,12.87,15,0,61,1
Ralph Soto,Hopkins-Olsen,IT,South,Medium,Ads,27,20.94,5,0,208,0
Robert Hart,"Nguyen, Jenkins and Mcintyre",Finance,West,Large,Webinar,7,9.37,5,0,341,0
Daniel Harrington,"Watson, Jenkins and Murphy",IT,West,Medium,Webinar,26,12.76,0,0,31,1
Andrew Medina,Barber-Singh,Education,West,Large,Ads,20,1.53,20,0,287,1
Anthony Hernandez,"Gilmore, Jackson and Meyer",Finance,West,Large,Ads,1,18.56,2,1,104,0
Brooke Davis,Harrison-Marquez,Education,North,Small,Webinar,8,9.57,9,0,84,0
Samantha Solis,Koch-Salazar,Education,West,Large,Email,33,2.41,16,0,175,0
Cassandra Warren,"Price, Brown and Vargas",Healthcare,West,Medium,Ads,33,27.61,3,1,9,0
Brian Savage,Ramos-Elliott,Retail,East,Medium,Email,9,21.49,7,0,264,1
Mary Mcdonald,Cruz-Braun,Healthcare,West,Medium,Webinar,34,24.95,3,1,305,1
Megan Frank,"Sanders, Johnson and Patel",Healthcare,South,Small,Ads,37,29.08,13,1,71,1
Jody Shepard,"Rodriguez, Perez and Lee",Healthcare,South,Large,Webinar,12,15.12,13,0,56,1
Heather Anderson,"Smith, Bennett and White",Education,West,Small,Webinar,11,3.79,20,1,103,1
Kimberly Smith,Mathis Group,IT,South,Small,Organic,38,14.58,4,0,50,1
Tamara Santiago,Smith LLC,IT,East,Medium,Organic,39,5.17,6,1,37,1
Douglas Mendoza,"Hunt, Mcgee and Hicks",Education,South,Large,Webinar,20,24.89,9,1,330,1
Bradley Gonzalez,Miranda Ltd,Retail,South,Large,Webinar,42,23.84,15,1,191,1
Jeffrey Smith,Larson Group,Education,East,Large,Webinar,25,29.9,6,0,107,1
Bridget Thomas,Daniels-Fisher,Finance,East,Medium,Organic,1,17.03,3,1,226,0
Robert Black,"Barron, Swanson and Martinez",IT,West,Large,Webinar,7,5.25,11,1,217,0
Shane Barber,Holmes Inc,IT,West,Small,Webinar,6,1.73,9,1,166,1
Justin Stewart,Wheeler Ltd,IT,West,Large,Webinar,49,19.16,14,0,300,1
Zachary Graves,White Group,Healthcare,East,Small,Organic,31,10.69,10,0,103,0
Madison Nguyen,Castro-Contreras,Retail,South,Medium,Organic,27,4.75,15,0,134,0
Laurie Olson DDS,Edwards-Ramirez,Healthcare,West,Medium,Ads,22,22.63,13,1,217,1
Jennifer Smith,Johnson-Bowman,IT,North,Small,Email,15,27.2,6,1,43,1
Kara Garcia,Lopez-Sims,Retail,East,Medium,Email,13,6,17,1,205,1
Matthew Brooks,"Jones, Roman and Henderson",Finance,South,Large,Organic,15,4.07,1,0,194,0
Mark Floyd,"Santos, Hill and Adams",Finance,East,Small,Organic,11,9.77,8,0,314,1
David Kelly,Woods-Davis,Education,North,Large,Organic,32,1.86,11,0,169,0
Tracy Williams,Barry-Bauer,Education,South,Large,Organic,16,27.59,10,1,148,1
Cheryl Bishop,Crosby Group,Healthcare,North,Medium,Organic,30,28.26,7,0,272,1
Desiree Brown,"Tyler, Bennett and Atkins",Education,South,Large,Ads,42,19.48,11,1,47,1
Jesse Gonzales,Diaz-Ross,Healthcare,East,Small,Organic,3,6.36,2,1,145,1
Tammy Herrera,"Mendez, Davis and Santiago",Finance,North,Small,Email,22,23.13,4,1,85,1
Barbara Boyd,Thomas-Miller,Education,West,Small,Webinar,40,13.85,7,1,190,1
Christina Schultz,Chen-Smith,Healthcare,North,Small,Email,45,4.11,18,1,159,1
Steven Sexton,"Flores, Ramirez and Baxter",Finance,East,Small,Webinar,42,5.07,15,0,353,0
Theresa Brown,"Simpson, Mann and Mclaughlin",Education,East,Small,Email,26,2.83,4,1,37,1
Julie Holmes,Price-Yu,Education,West,Large,Webinar,23,13.51,0,1,199,0
Andrew Hunter,"Sanders, Garcia and Griffin",IT,East,Large,Email,8,18.67,9,0,205,1
Rita Patterson,Barron LLC,Education,South,Small,Email,47,21.5,9,0,64,1
Debbie Flores,Johnson-Bauer,Education,South,Medium,Email,36,4.94,17,1,198,1
Calvin Black,Martin Inc,Retail,North,Medium,Organic,19,26.64,17,0,204,0
Robert Nguyen,Douglas-Reyes,Education,West,Medium,Webinar,42,11.41,2,1,84,1
David Jones MD,Torres PLC,Education,West,Medium,Webinar,35,29.42,20,1,214,1
Brianna Smith,Rogers-Brown,Healthcare,East,Large,Email,45,21.96,15,1,248,1
Anna Martinez,Levy-Young,Healthcare,North,Medium,Ads,20,22.42,0,0,347,0
Bobby Clark,Rodriguez-Hernandez,Retail,South,Large,Organic,8,6.34,7,1,143,1
Richard Morgan,Powers-Buchanan,Retail,West,Small,Ads,1,23.6,7,0,201,0
John Johnson,"Smith, Moore and Phillips",IT,North,Medium,Organic,19,8,8,0,219,1
Gina Wright,Cooper-Blair,Finance,West,Large,Email,20,17.66,19,1,314,1
Robert Aguilar,Moore Ltd,IT,West,Large,Organic,24,11.79,7,1,268,1
Alexis Flores,"Vaughn, Curtis and Patterson",Finance,East,Small,Email,1,2.81,7,0,295,1
Dylan Martin,Graves-Harrington,Retail,East,Small,Ads,28,26.1,15,1,194,1
Kelly Davis,"Wong, Rodriguez and Stephens",Education,North,Medium,Email,19,1.55,5,0,121,0
Cheryl Rhodes DVM,Reyes-Walton,Education,South,Small,Email,3,16.06,17,1,27,1
Gregory Jordan,"Gonzales, Bryant and Gallagher",IT,North,Small,Ads,7,1.61,2,1,16,0
Alexis Pierce,"Boone, Watkins and Lang",Retail,West,Large,Ads,28,6.34,2,1,33,0
Megan Torres,Garcia and Sons,Education,West,Small,Organic,31,22.52,3,1,321,0
Gary Miller,Case Inc,Healthcare,North,Medium,Ads,24,13.52,18,1,324,1
Sara Stewart,Williamson LLC,Retail,North,Medium,Email,36,15.6,16,0,135,1
Mary Davis,"Freeman, Mendoza and Brown",Healthcare,South,Medium,Organic,37,6.45,8,1,291,1
Bradley Johnson,Jacobson-Larson,Healthcare,South,Small,Ads,17,13.73,15,1,248,1
Brian Palmer,"Fuller, Zamora and Morales",Education,South,Small,Webinar,22,19.75,17,1,302,1
Ashley Bridges,Hicks LLC,Retail,South,Medium,Ads,21,2.22,16,0,128,1
Michael Hartman,Hanson Inc,Healthcare,South,Medium,Organic,47,5.64,7,1,42,1
Nancy Wright,"Griffin, Tran and Hill",Education,South,Large,Organic,34,25.19,6,1,173,1
Jennifer Owen,"Allen, Pugh and Young",Education,South,Small,Ads,19,7.04,20,1,21,1
Jennifer Graham,Miller Ltd,IT,North,Large,Webinar,3,29.5,3,0,127,1
Stephanie Estrada,Martinez Ltd,Education,North,Large,Ads,26,19.02,11,0,111,0
Mary Reed,"Riley, Holloway and Collins",Retail,North,Medium,Email,26,14.23,11,0,260,1
Richard Jones,Cook-Pugh,Education,North,Small,Email,35,19.1,5,1,209,0
Mario Johnson,"Davis, White and Stephens",Finance,West,Small,Organic,43,17.01,5,1,16,1
Elizabeth Jackson,Davis-Taylor,Education,East,Large,Organic,44,7.21,0,1,176,1
Ashley Perez,Montgomery-Ramirez,Education,South,Medium,Ads,29,2.39,12,0,322,0
Dwayne Anderson,Escobar and Sons,IT,South,Large,Email,8,28.4,6,0,141,1
Richard Sosa,Watkins-Marks,Finance,East,Large,Ads,37,7.04,17,1,240,1
Julia Ray,Smith-Gordon,Education,South,Medium,Organic,34,4.77,2,1,116,0
Amanda Montes,Tran Group,Healthcare,West,Small,Ads,9,24.68,8,1,355,1
Mark Turner,Duffy-Flynn,IT,West,Medium,Ads,23,8.52,16,0,231,1
Brandon Meyers,Monroe-Campbell,Education,South,Medium,Ads,23,1.82,11,0,167,0
Brian Walker,Hernandez-Glenn,Healthcare,West,Large,Email,47,22.27,12,0,104,1
Michael Simpson,Adams-Ruiz,Finance,South,Small,Organic,47,6.69,15,0,10,0
Kristen Kim,Cox LLC,IT,North,Medium,Ads,8,8.59,19,0,254,0
Kyle Fowler,"Phillips, Richardson and Townsend",Healthcare,West,Large,Organic,4,18.34,5,1,125,0
Scott Jacobs,Harris-Mendez,Retail,East,Small,Ads,27,7.34,1,1,68,1
Tiffany Cox,"Gomez, King and Jackson",Education,North,Large,Organic,18,20.39,1,1,59,0
Ashley Palmer,"Rodriguez, Wu and Anderson",Retail,East,Small,Ads,15,22.88,16,0,332,1
Brandon Cuevas,Knight Inc,IT,East,Large,Webinar,2,2.64,1,1,250,1
Yvonne Wolf,Waller LLC,Retail,North,Medium,Ads,30,20.43,20,1,356,1
Maria Bell,Martin Inc,IT,East,Medium,Ads,23,16.22,12,0,179,0
Sharon Black,Williams Ltd,Finance,East,Large,Organic,3,25.97,20,0,349,1
Sarah Mcknight,"Brown, Harris and Castro",IT,South,Medium,Ads,34,12.25,18,1,304,1
Teresa Hughes,"Thomas, Martinez and Knight",Retail,West,Large,Email,10,12.68,19,0,348,0
Jessica Smith,"Collins, Reed and Alvarado",IT,South,Medium,Organic,4,2.99,6,0,150,1
David Johnson,Hernandez-Mills,Education,East,Large,Webinar,4,12.87,11,0,303,0
Jasmine Evans,Warner-Kim,IT,West,Medium,Ads,27,10.17,2,0,23,1
Felicia Gonzales,Cain and Sons,IT,South,Large,Email,48,25.55,13,0,160,1
Erik Matthews,Stewart Inc,Finance,North,Small,Organic,49,26.42,10,1,299,1
Elizabeth Stafford,Lee-Smith,Finance,North,Large,Email,35,1.47,7,0,26,0
Steven Stevens DDS,Moore-Oconnell,Healthcare,North,Large,Email,36,21.85,1,1,185,0
Christopher Martinez,Wilson-Garza,Education,North,Large,Webinar,11,8.44,12,0,255,1
Christopher Thornton,"Kennedy, Stone and Williams",Retail,West,Medium,Ads,34,29.38,9,0,210,1
Victoria Fuller,Reese PLC,Retail,North,Small,Organic,11,10.04,13,0,175,0
Paula Hayes,Jones-Lane,Healthcare,North,Small,Organic,7,25.55,13,0,190,1
Bonnie Johnson,Byrd Group,Education,North,Large,Webinar,30,16.05,17,1,83,1
Sandra Smith,Rodgers-Bailey,Finance,South,Medium,Email,11,4.86,17,1,351,1
Melissa Russell DDS,Reed Group,Retail,South,Medium,Email,45,5.08,17,0,37,0
Travis Williams,Ortiz LLC,Retail,North,Medium,Webinar,38,5,6,1,43,1
David Morgan,Kline-Armstrong,IT,South,Large,Organic,13,5.21,7,1,96,1
Barbara Ewing,"Cooper, Garcia and Dean",Finance,West,Small,Email,8,5.43,9,1,63,1
Jon Wright,Hogan Inc,IT,East,Medium,Webinar,45,11.13,4,0,306,1
Cynthia Savage,Acosta-Obrien,Retail,South,Medium,Ads,14,9.33,5,0,216,1
Bridget Ellis,Brewer and Sons,IT,South,Medium,Ads,43,20.06,15,0,28,0
Curtis Zimmerman,"Garcia, Gentry and Mccarty",Education,East,Small,Ads,4,28.59,15,0,208,1
Mr. Michael Erickson,Brown-Hernandez,IT,East,Medium,Ads,18,26.72,9,0,211,1
David Morse,Smith-Payne,IT,North,Medium,Organic,50,13.52,5,1,341,1
Juan Fowler,Caldwell-Baker,Finance,North,Small,Organic,25,15.85,6,1,5,1
Timothy Colon,Schultz LLC,IT,East,Small,Webinar,3,3.21,11,1,181,0
Kristen Rodriguez,Franklin-Case,Education,South,Small,Webinar,11,20.87,0,1,34,0
Jessica Oliver,Hudson Group,Finance,South,Small,Ads,6,9.75,18,1,20,0
Whitney Byrd,Lewis PLC,Education,East,Large,Ads,16,18.72,4,0,59,1
Robert Velasquez,Cohen Group,Education,East,Medium,Organic,24,9.3,2,0,99,0
